# r   PMF(r)   Fit(r)
18.200000  -0.381024  -0.379104
18.225000  -0.380413  -0.378477
18.250000  -0.379803  -0.377851
18.275000  -0.379195  -0.377227
18.300000  -0.378588  -0.376604
18.325000  -0.377983  -0.375983
18.350000  -0.377380  -0.375364
18.375000  -0.376778  -0.374747
18.400000  -0.376177  -0.374132
18.425000  -0.375578  -0.373518
18.450000  -0.374980  -0.372906
18.475000  -0.374383  -0.372295
18.500000  -0.373787  -0.371686
18.525000  -0.373192  -0.371079
18.550000  -0.372599  -0.370474
18.575000  -0.372007  -0.369870
18.600000  -0.371415  -0.369268
18.625000  -0.370825  -0.368667
18.650000  -0.370235  -0.368068
18.675000  -0.369647  -0.367471
18.700000  -0.369060  -0.366876
18.725000  -0.368473  -0.366282
18.750000  -0.367887  -0.365689
18.775000  -0.367303  -0.365098
18.800000  -0.366719  -0.364509
18.825000  -0.366136  -0.363922
18.850000  -0.365554  -0.363336
18.875000  -0.364972  -0.362751
18.900000  -0.364392  -0.362169
18.925000  -0.363813  -0.361587
18.950000  -0.363234  -0.361008
18.975000  -0.362656  -0.360429
19.000000  -0.362079  -0.359853
19.025000  -0.361504  -0.359278
19.050000  -0.360929  -0.358704
19.075000  -0.360355  -0.358132
19.100000  -0.359782  -0.357562
19.125000  -0.359210  -0.356993
19.150000  -0.358639  -0.356426
19.175000  -0.358069  -0.355860
19.200000  -0.357500  -0.355295
19.225000  -0.356932  -0.354732
19.250000  -0.356365  -0.354171
19.275000  -0.355799  -0.353611
19.300000  -0.355235  -0.353053
19.325000  -0.354671  -0.352496
19.350000  -0.354109  -0.351940
19.375000  -0.353548  -0.351386
19.400000  -0.352989  -0.350833
19.425000  -0.352430  -0.350282
19.450000  -0.351873  -0.349733
19.475000  -0.351317  -0.349184
19.500000  -0.350763  -0.348638
19.525000  -0.350210  -0.348092
19.550000  -0.349658  -0.347548
19.575000  -0.349108  -0.347006
19.600000  -0.348559  -0.346465
19.625000  -0.348011  -0.345925
19.650000  -0.347465  -0.345386
19.675000  -0.346921  -0.344850
19.700000  -0.346378  -0.344314
19.725000  -0.345837  -0.343780
19.750000  -0.345297  -0.343247
